Company,Ticker,CIK,Fiscal_Year,Accounts_Payable,Accounts_Receivable,Acquisitions,Basic_EPS,CF_Net_Income,Capital_Expenditures,Cash_Flow_from_Financing_Activities,Cash_Flow_from_Investing_Activities,Cash_Flow_from_Operating_Activities,Cash_and_Cash_Equivalents,Common_Stock_and_APIC,Cost_of_Revenue,Debt_Issuance,Debt_Repayment,Depreciation_and_Amortization,Diluted_EPS,Dividends_Paid,Effect_of_Exchange_Rate,Ending_Cash,General_and_Administrative,Goodwill,Gross_Profit,Income_Before_Taxes,Income_Tax_Expense,Intangible_Assets_Net,Interest_Expense,Interest_Income,Inventory,Long_Term_Debt,Net_Change_in_Cash,Net_Income,Operating_Expenses,Operating_Income,Other_Current_Assets,Other_Current_Liabilities,Other_Income_Expense,Other_Noncurrent_Assets,Other_Noncurrent_Liabilities,Proceeds_from_Investments,Property_Plant_and_Equipment_Net,Purchases_of_Investments,Research_and_Development,Retained_Earnings,Revenue,Sales_and_Marketing,Share_Repurchases,Short_Term_Debt,Short_Term_Investments,Stock_Based_Compensation,Stock_Issuance,Total_Assets,Total_Current_Assets,Total_Current_Liabilities,Total_Liabilities,Total_Liabilities_and_Equity,Total_Stockholders_Equity,Weighted_Average_Shares_Basic,Weighted_Average_Shares_Diluted
Apple,AAPL,0000320193,2021,54763000000.0,26278000000.0,33000000.0,5.67,94680000000.0,11085000000.0,-93353000000.0,-14545000000.0,104038000000.0,34940000000.0,57365000000.0,212981000000.0,20393000000.0,8750000000.0,11284000000.0,5.61,14467000000.0,,35929000000.0,,,152836000000.0,109207000000.0,14527000000.0,,2645000000.0,,6580000000.0,109106000000.0,-3860000000.0,94680000000.0,43887000000.0,108949000000.0,14111000000.0,47493000000.0,60000000.0,48849000000.0,53325000000.0,59023000000.0,39440000000.0,109558000000.0,21914000000.0,5562000000.0,365817000000.0,,85971000000.0,9613000000.0,27699000000.0,7906000000.0,1105000000.0,351002000000.0,134836000000.0,125481000000.0,287912000000.0,351002000000.0,63090000000.0,16701272000.0,16864919000.0
Apple,AAPL,0000320193,2022,64115000000.0,28184000000.0,306000000.0,6.15,99803000000.0,10708000000.0,-110749000000.0,-22354000000.0,122151000000.0,23646000000.0,64849000000.0,223546000000.0,5465000000.0,9543000000.0,11104000000.0,6.11,14841000000.0,,24977000000.0,,,170782000000.0,119103000000.0,19300000000.0,,2931000000.0,,4946000000.0,98959000000.0,-10952000000.0,99803000000.0,51345000000.0,119437000000.0,21223000000.0,60845000000.0,-228000000.0,54428000000.0,49142000000.0,29917000000.0,42117000000.0,76923000000.0,26251000000.0,-3068000000.0,394328000000.0,,89402000000.0,11128000000.0,24658000000.0,9038000000.0,,352755000000.0,135405000000.0,153982000000.0,302083000000.0,352755000000.0,50672000000.0,16215963000.0,16325819000.0
Apple,AAPL,0000320193,2023,62611000000.0,29508000000.0,,6.16,96995000000.0,10959000000.0,-108488000000.0,3705000000.0,110543000000.0,29965000000.0,73812000000.0,214137000000.0,5228000000.0,11151000000.0,11519000000.0,6.13,15025000000.0,,30737000000.0,6672000000.0,,169148000000.0,113736000000.0,16741000000.0,,3933000000.0,,6331000000.0,95281000000.0,5760000000.0,96995000000.0,54847000000.0,114301000000.0,14695000000.0,58829000000.0,-382000000.0,64758000000.0,49848000000.0,39686000000.0,43715000000.0,29513000000.0,29915000000.0,-214000000.0,383285000000.0,18260000000.0,77550000000.0,9822000000.0,31590000000.0,10833000000.0,,352583000000.0,143566000000.0,145308000000.0,290437000000.0,352583000000.0,62146000000.0,15744231000.0,15812547000.0
Apple,AAPL,0000320193,2024,68960000000.0,33410000000.0,,6.11,93736000000.0,9447000000.0,-121983000000.0,2935000000.0,118254000000.0,29943000000.0,83276000000.0,210352000000.0,0.0,9958000000.0,11445000000.0,6.08,15234000000.0,,29943000000.0,7458000000.0,,180683000000.0,123485000000.0,29749000000.0,,,,7286000000.0,85750000000.0,-794000000.0,93736000000.0,57467000000.0,123216000000.0,14287000000.0,78304000000.0,269000000.0,74834000000.0,45888000000.0,51211000000.0,45680000000.0,48656000000.0,31370000000.0,-19154000000.0,391035000000.0,18639000000.0,94949000000.0,10912000000.0,35228000000.0,11688000000.0,,364980000000.0,152987000000.0,176392000000.0,308030000000.0,364980000000.0,56950000000.0,15343783000.0,15408095000.0
Apple,AAPL,0000320193,2025,69860000000.0,39777000000.0,,7.49,112010000000.0,12715000000.0,-120686000000.0,15195000000.0,111482000000.0,35934000000.0,93568000000.0,220960000000.0,4481000000.0,10932000000.0,11698000000.0,7.46,15421000000.0,,35934000000.0,8077000000.0,,195201000000.0,132729000000.0,20719000000.0,,,,5718000000.0,78328000000.0,5991000000.0,112010000000.0,62151000000.0,133050000000.0,14585000000.0,66387000000.0,-321000000.0,83727000000.0,41549000000.0,40907000000.0,49834000000.0,24407000000.0,34550000000.0,-14264000000.0,416161000000.0,19524000000.0,90711000000.0,12350000000.0,18763000000.0,12863000000.0,,359241000000.0,147957000000.0,165631000000.0,285508000000.0,359241000000.0,73733000000.0,14948500000.0,15004697000.0
CrowdStrike,CRWD,0001535527,2021,12065000.0,239199000.0,85517000.0,-0.43,-92629000.0,52799000.0,800135000.0,495427000.0,356566000.0,1918608000.0,1598259000.0,229545000.0,739569000.0,0.0,,-0.43,,1682000.0,1918608000.0,121436000.0,83566000.0,644893000.0,-87869000.0,4760000.0,15677000.0,1559000.0,4968000.0,,738029000.0,1653810000.0,-92629000.0,737422000.0,-92529000.0,4566000.0,17499000.0,1251000.0,17112000.0,17184000.0,91605000.0,167014000.0,84904000.0,214670000.0,-730116000.0,874438000.0,401316000.0,0.0,,,149675000.0,28831000.0,2732533000.0,2292274000.0,863553000.0,1860659000.0,2732533000.0,870574000.0,217756000.0,217756000.0
CrowdStrike,CRWD,0001535527,2022,47634000.0,368145000.0,414518000.0,-1.03,-234802000.0,112143000.0,72531000.0,-564516000.0,574784000.0,1996633000.0,1991807000.0,383221000.0,0.0,,,-1.03,,-4774000.0,1996633000.0,223092000.0,416445000.0,1068373000.0,-160023000.0,72355000.0,97336000.0,25231000.0,3788000.0,,739517000.0,78025000.0,-234802000.0,1210921000.0,-142548000.0,12783000.0,24929000.0,3968000.0,25346000.0,16193000.0,0.0,260577000.0,0.0,371283000.0,-964918000.0,1451594000.0,616546000.0,,,0.0,309952000.0,15899000.0,3618381000.0,2570952000.0,1406830000.0,2580738000.0,3618381000.0,1025764000.0,227142000.0,227142000.0
CrowdStrike,CRWD,0001535527,2023,45372000.0,626181000.0,18349000.0,-0.79,-183245000.0,235019000.0,77437000.0,-556658000.0,941007000.0,2455369000.0,2612705000.0,601231000.0,0.0,,,-0.79,,-1495000.0,2456924000.0,317344000.0,430645000.0,1640005000.0,-159883000.0,22402000.0,86889000.0,25319000.0,52495000.0,,741005000.0,460291000.0,-183245000.0,1830117000.0,-190112000.0,,16519000.0,3053000.0,28965000.0,31833000.0,0.0,492335000.0,,608364000.0,-1148163000.0,2241236000.0,904409000.0,,,250000000.0,526504000.0,8655000.0,5026540000.0,3640267000.0,2109072000.0,3539106000.0,5026540000.0,1463641000.0,233139000.0,233139000.0
CrowdStrike,CRWD,0001535527,2024,28180000.0,853105000.0,239030000.0,0.3,72181000.0,176529000.0,93158000.0,-340650000.0,1166207000.0,3375069000.0,3364328000.0,758929000.0,,,,0.3,,1958000.0,3377597000.0,395173000.0,638041000.0,2296626000.0,105671000.0,32232000.0,114518000.0,25756000.0,148930000.0,,742494000.0,920673000.0,72181000.0,2315767000.0,-19141000.0,38300000.0,23672000.0,1638000.0,76094000.0,50086000.0,,620172000.0,,780319000.0,-1058836000.0,3055555000.0,1140275000.0,,,99591000.0,648665000.0,8695000.0,6646520000.0,4757307000.0,2697279000.0,4309431000.0,6646520000.0,2303950000.0,238637000.0,243635000.0
CrowdStrike,CRWD,0001535527,2025,130887000.0,1128564000.0,310257000.0,-0.06,-15241000.0,254852000.0,107208000.0,-536588000.0,1381727000.0,4323295000.0,4409503000.0,990172000.0,,,,-0.06,,-5278000.0,4324666000.0,481264000.0,912805000.0,2963452000.0,58564000.0,71130000.0,133114000.0,26311000.0,196174000.0,,743983000.0,947069000.0,-15241000.0,3079852000.0,-116400000.0,67100000.0,72755000.0,5101000.0,137459000.0,150849000.0,,788640000.0,,1075587000.0,-1120540000.0,3953624000.0,1523001000.0,,,0.0,861391000.0,3983000.0,8701578000.0,6113345000.0,3461050000.0,5382661000.0,8701578000.0,3279494000.0,244750000.0,244750000.0
CrowdStrike,CRWD,0001535527,2026,105319000.0,1361844000.0,382268000.0,-0.65,-162502000.0,302108000.0,132452000.0,-764479000.0,1612349000.0,5230125000.0,5694549000.0,1218929000.0,,,,-0.65,,9629000.0,5314617000.0,670344000.0,1363294000.0,3593076000.0,-126989000.0,34176000.0,136702000.0,28021000.0,194969000.0,,745471000.0,989951000.0,-162502000.0,3886368000.0,-293292000.0,128800000.0,68811000.0,-645000.0,388888000.0,295655000.0,,976331000.0,,1384770000.0,-1283042000.0,4812005000.0,1831254000.0,,,,1096679000.0,3163000.0,11086684000.0,7419119000.0,4184192000.0,6614079000.0,11086684000.0,4428390000.0,250576000.0,250576000.0
Microsoft,MSFT,0000789019,2021,15163000000.0,38043000000.0,,8.12,61271000000.0,20622000000.0,-48486000000.0,-27577000000.0,76740000000.0,14224000000.0,83111000000.0,52232000000.0,,,,8.05,16521000000.0,-29000000.0,14224000000.0,5107000000.0,49711000000.0,115856000000.0,71102000000.0,9831000000.0,7800000000.0,2346000000.0,,2636000000.0,50074000000.0,648000000.0,61271000000.0,,69916000000.0,13393000000.0,11666000000.0,98000000.0,15075000000.0,13427000000.0,51792000000.0,59715000000.0,62924000000.0,20716000000.0,57055000000.0,168088000000.0,20117000000.0,27385000000.0,8072000000.0,116110000000.0,6118000000.0,1693000000.0,333779000000.0,184406000000.0,88657000000.0,191791000000.0,333779000000.0,141988000000.0,7547000000.0,7608000000.0
Microsoft,MSFT,0000789019,2022,19000000000.0,44261000000.0,,9.7,72738000000.0,23886000000.0,-58876000000.0,-30311000000.0,89035000000.0,13931000000.0,86939000000.0,62650000000.0,,,,9.65,18135000000.0,,13931000000.0,5900000000.0,67524000000.0,135620000000.0,83716000000.0,10978000000.0,11298000000.0,2063000000.0,,3742000000.0,47032000000.0,-293000000.0,72738000000.0,,83383000000.0,16924000000.0,13067000000.0,-32000000.0,21897000000.0,15526000000.0,16451000000.0,74398000000.0,26456000000.0,24512000000.0,84281000000.0,198270000000.0,21825000000.0,32696000000.0,2749000000.0,90826000000.0,7502000000.0,1841000000.0,364840000000.0,169684000000.0,95082000000.0,198298000000.0,364840000000.0,166542000000.0,7496000000.0,7540000000.0
